Date,Name,Name2,Record#,TypeofInteraction,FemaleAgeclass,FemaleMotherClass,OffspringClass,ObservedReproductiveStatus,EndocrineStatusHormones,CyclePhaseHormones,ReproductiveStatus,Endo2,Endo3,Endo4,Endo5,Endo6,Endo7,Endo8,Pregnantvs.nonpregnant,E1CmgCr,PDGmgCr,CommentMET,EndorineComment,SocialInteraction,InteractionwithMale,Mating,NearMating,Consortship,ObservationMinutes,FollowType,FollowTypeII,Lengthofmating,PelvicThrusts,Male,MaletypeI,MaleTypeII,MaleTypeIII,MatingTypeExcel,MatingTypePercent,MatingTypePercentII,MatingTypeII,MatingTypeIII,Matingtypequestionable,TotalnonresistantProceptiveandResistanceBehaviors,NonResistantBeforeBehaviors,NonResistantDuringBehaviors,Totalnonresistantbehaviors,NonresistantBehaviors,ProceptiveBehaviors,ProceptiveBehaviors_A,TotalunresistedandProcepetivebehaviors,unresistedandProcepetivebehaviors,ResistantBeforeBehaviors,BeforeBehaviors,ResistantDuringBehaviors,DuringBehaviors,TotalResistantBehaviors,ResistantBehaviors,AttractionBehaviors,MaleInspectionBehaviors,AttractionAggression,TotalAggressiveBehaviors,TotalJuvenileDistressBeforeBehaviors,TotalJuvenileDistressDuringBehaviors,NonResistantBeforeFemaleandmalesidebyside,NonResistantBeforeFemaleandmaleenternesttogether,NonResistantBeforeFemalenotangrytowardsmale,NonResistantDuringFemalecooperatiesatbeginningofmating,NonResistantDuringFemalecooperatesaftermatingbegins,ProceptiveBeforeFemaleApproachesMale,ProceptiveDuringFemalehelpswithintromission,ProceptiveDuringFemaletouchesmalegenitaliawithmouth,ProceptiveDuringFemalelickspenis,ProceptiveDuringFemaleputspenisinmouth,ProceptiveDuringFemalespreadsmaleslegs,ProceptiveDuringFemalesitsontopofmale,ProceptiveDuringFemalepullsmalesleginsolicitation,ProceptiveDuringFemalepullsmalesarminsolicitation,ProceptiveDuringFemaleperformspelvicthrusts,ProceptiveDuringFemalecoos,ProceptiveDuringFemalelaysdownontopofmale,ProceptiveDuringFemaleputslegontopofmale,ProceptiveDuringFemalemalefacetoface,ProceptiveDuringFemaledisplaysgenitalstomale,ResistanceBeforeFemaleafraid,ResistanceBeforeFemaleangry,ResistanceBeforeFemalevocalizesagainistmaleapproach,ResistanceBeforeFemalemakessmallnoise,ResistanceBeforeFemalelork,ResistanceBeforeFemalegroan,ResistanceBeforeFemaledistressvocalization,ResistanceBeforeFemalevocalizesgutteralnoise,ResistanceBeforeFemalerunsawayformmale,ResistanceBeforeFemalemovesawayfrommale,ResistanceBeforeFemaleaggressivetowardsmale,ResistanceBeforeFemaleurinates,ResistanceDuringafraid,ResistanceDuringangry,ResistanceDuringmakessamllnoise,ResistanceDuringlork,ResistanceDuringgroan,ResistanceDuringdistressvocalization,ResistanceDuringgiutteralnoise,ResistanceDuringFemaletrystopullaway,ResistanceDuringfemalestrugglesaganstmale,ResistanceDuringFemaleaggressivetowardsmaleduringmating,ResistanceDuringfemaleurinates,AttractionMaleapproachesfemale,AttractionMaletouchesfemalegenitaliawithmouth,AttractionMalesniffsfemalegenitals,AttractionMaletouchesopensfemalegenitals,AttractionMalesmellskissesfemalehand,AttractionMalerubsfemalenongenitals,AttractionMalelicksspermfromfemalegenitalia,AttractionMalespreadsfemaleslegsforinspection,AttractionMalemoansduringmating,AggressionsMaleforcesapartfemalelegs,AggressionsMaleholdsfemale,AggressionsMalechasesfemale,AggressionsMalegrabsfemale,AggressionsMalepullsfemalelegfoot,AggressionsMalepullsfemalearmhand,AggressionsMalepullsfemaledown,AggressionsMalehitsfemaleleg,AggressionsMalebitesfemalelightly,AggressionsMalehitsfemalelightly,AggressionsMaleholdsfemaleonlap,AggressionsMaleembracesfemale,AggressionsMalepositionsfemaleformating,AggressionsMalesitsontopoffemale,AggressionsMalelaysdownontopoffemale,AggressionMalegrumphs,AggressionMalekissgrunts,Juvenilebeforeafraid,Juvenilebeforeangry,Juvenilebeforecrys,Juvenilebeforevocalizes,Juvenilebeforeurinates,Juvenilebeforemaletouchesjuvenile,Juvenilebeforemalepullsjuvenile,JuvenileDuringJuvenilehitsmale,JuvenileDuringJuvenilebitesmale,JuvenileDuringJuveniletriestopullmaleofffemale,JuvenileDuringJuveniletriestointerfere,JuvenileDuringafraid,JuvenileDuringangry,JuvenileDuringcrys,JuvenileDuringvocalizes,JuvenileDuringurinates,JuvenileDuringmaletouchesjuvenile,JuvenileDuringmalepushesjuvenileaway,Malehangingbelowfemale,Malehangsabovefemale,Femalelyingdownundermale,Femalesitsbelowmale,Malerejectsfemaleadvance,Mating01,maletype2,male2miss,femendo,prime,POP,nPOP,CYCN,POPprime,nPOPprime,POPnprime,nPOPnprime,CYCprime,CYCNprime,POPint,nPOPint,filter_$,preglact
34183,Betina O,Betina,668,,Adol Female,Adol Female,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data, , ,,,Y,Y,N,N,N,310,D  found then full day,, , ,Jari Manis,Flanged,Prime Male,Prime,,,,,,,0,0,0,0, ,0, ,0, ,0, ,0, ,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prime Male,3, ,1, , , , , ,0,0, , , , ,1, 
34184,Betina O,Betina,670,Consortship,Adol Female,Adol Female,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data, , ,,,Y,Y,N,N,Y,369,S  Switched to another OH,, , ,Jari Manis,Flanged,Prime Male,Prime,,,,,,,0,0,0,0, ,0, ,0, ,0, ,0, ,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prime Male,3, ,1, , , , , ,0,0, , , , ,1, 
34337,Betina P,Betina,862,,Adult Female,Mother,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data, , ,,,Y,Y,N,N,N,805,L  late full day,F, , ,Unflanged male,Unflanged,Unflanged,Non-Prime,,,,,,,0,0,0,0, ,0, ,0, ,0, ,0, ,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unflanged,1, ,0, , , ,0,0, , ,0,0,0,0,1, 
34339,Betina P,Betina,871,Consortship,Adult Female,Mother,,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data, , ,,,Y,Y,N,N,N,805,L  late full day,F,0.171528, ,Unflanged Male,Unflanged,Unflanged,Non-Prime,,,,,,,0,0,0,0, ,0, ,0, ,0, ,0, ,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unflanged,1, ,0, , , ,0,0, , ,0,0,0,0,1, 
35529,Ceska,Ceska,69,Sexual Interaction,Adult Female,Mother,Inf no juv,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data, , ,,,Y,Y,N,Y,Y,740,F  full,F,0.239583, ,Fusuyo,Flanged,Prime Male,Prime,,,,,,,0,0,0,0, ,0, ,0, ,0, ,0, ,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prime Male,3, ,1, , , , , ,0,0, , , , ,1, 
35529,Ceska,Ceska,2858,Encounter,Adult Female,Mother,Inf no juv,,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data, , ,,,Y,Y,N,Y,Y,740,F  full,F,0.006944, ,Roman,Flanged,Past Prime,Non-Prime,,,,,,,0,0,0,0, ,0, ,0, ,0, ,0, ,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Past Prime,2, , , , , , , , , , , , , ,1, 
35530,Ceska,Ceska,2301,Consortship,Adult Female,Mother,Inf no juv,,Not sure,Not sure,Not sure,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,8092,116,,,Y,Y,N,N,Y,755,F  full,F, , ,Roman,Flanged,Past Prime,Non-Prime,,,,,,,0,0,0,0, ,0, ,0, ,0, ,0, ,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Past Prime,2, , , , , , , , , , , , , ,1, 
33272,Emilia Kontessa,Emilia Kontessa,14,Consortship,Adult Female,Non-mother,No infant,Unknown,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data, , ,,,Y,Y,Y,N,Y,598,D  found then full day,D, , ,Subadult G,Unflanged,Unflanged,Non-Prime,,,,,,,0,0,0,0, ,0, ,0, ,0, ,0, ,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Unflanged,1, ,0, , , ,0,0, , ,0,0,0,0,1, 
33272,Emilia Kontessa,Emilia Kontessa,15,Mating 1,Adult Female,Non-mother,No infant,Unknown,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data, , ,,,Y,Y,Y,N,Y,598,D  found then full day,D,0.00625, ,Subadult G,Unflanged,Unflanged,Non-Prime,Forced,Cooperative,Cooperative,Unforced,Proceptive,Yes,2,1,0,1,0.5,1,0.5,2,1,0,0,0,0,0,0,2,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Unflanged,1, ,0, , , ,0,0, , ,0,0,0,0,1, 
33272,Emilia Kontessa,Emilia Kontessa,16,Mating 2,Adult Female,Non-mother,No infant,Unknown,,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data, , ,,,Y,Y,Y,N,Y,598,D  found then full day,D,0.008333, ,Subadult G,Unflanged,Unflanged,Non-Prime,Cooperative,Forced,Forced,Forced,Resisted,Yes,3,0,1,1,0.33,0,0,1,0.33,1,0.33,1,0.33,2,0.67,1,0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Unflanged,1, ,0, , , ,0,0, , ,0,0,0,0,1, 
