Date,day,year,year2,DateSPSS,Name,Name2,Record#,TypeofInteraction,FemaleAgeclass,FemaleMotherClass,OffspringClass,ObservedReproductiveStatus,EndocrineStatusHormones,CyclePhaseHormones,ReproductiveStatus,Endo2,Endo3,Endo4,Endo5,Endo6,Endo7,Endo8,Pregnantvs.nonpregnant,E1CmgCr,PDGmgCr,CommentMET,EndorineComment,SocialInteraction,InteractionwithMale,Mating,NearMating,Consortship,ObservationMinutes,FollowType,FollowTypeII,Lengthofmating,PelvicThrusts,Male,MaletypeI,MaleTypeII,MaleTypeIII,MatingTypeExcel,MatingTypePercent,MatingTypePercentII,MatingTypeII,MatingTypeIII,Matingtypequestionable,TotalnonresistantProceptiveandResistanceBehaviors,NonResistantBeforeBehaviors,NonResistantDuringBehaviors,Totalnonresistantbehaviors,NonresistantBehaviors,ProceptiveBehaviors,ProceptiveBehaviors_A,TotalunresistedandProcepetivebehaviors,unresistedandProcepetivebehaviors,ResistantBeforeBehaviors,BeforeBehaviors,ResistantDuringBehaviors,DuringBehaviors,TotalResistantBehaviors,ResistantBehaviors,AttractionBehaviors,Mating01,POP,preg,lact,prime,past,unflanged,included,endomiss
34397,064,94,94.17385352498289,03/05/1994,Marissa,Marissa,959,,Adult Female,Mother,Over 4 yrs,Pregnant,,,Conception or pregnant,non-cycling,Pregnant,Pregnant,Pregnant,Pregnant,non-POP,Pregnant,Pregnant, , ,,,Y,N,N,N,N,555,D  found then full day,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34398,065,94,94.17659137577002,03/06/1994,Marissa,Marissa,961,,Adult Female,Mother,Over 4 yrs,Pregnant,,,Conception or pregnant,non-cycling,Pregnant,Pregnant,Pregnant,Pregnant,non-POP,Pregnant,Pregnant, , ,,,N,N,N,N,N,300,H  lost,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34504,171,94,94.46680355920603,06/20/1994,Abby,Abby,1107,,Adult Female,Mother,Over 4 yrs,Unknown,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,392,D  found then full day,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34505,172,94,94.46954140999316,06/21/1994,Abby,Abby,1110,,Adult Female,Mother,Over 4 yrs,Unknown,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,4695,1776,,,Y,N,N,N,N,799,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34506,173,94,94.47227926078028,06/22/1994,Abby,Abby,1113,,Adult Female,Mother,Over 4 yrs,Unknown,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,8165,1768,,,N,N,N,N,N,692,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34507,174,94,94.47501711156742,06/23/1994,Abby,Abby,1116,,Adult Female,Mother,Over 4 yrs,Unknown,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,6824,1938,,,N,N,N,N,N,780,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34508,175,94,94.47775496235455,06/24/1994,Abby,Abby,1120,,Adult Female,Mother,Over 4 yrs,Unknown,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,102022,607,,,N,N,N,N,N,690,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34509,176,94,94.48049281314168,06/25/1994,Abby,Abby,1124,,Adult Female,Mother,Over 4 yrs,Unknown,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,14034,336,,,N,N,N,N,N,727,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34510,177,94,94.48323066392882,06/26/1994,Abby,Abby,1128,,Adult Female,Mother,Over 4 yrs,Unknown,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,9731,281,,,N,N,N,N,N,626,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34343,010,94,94.02600958247776,01/10/1994,AF10Jan98,AF10Jan98,36,Mating 1,Adult Female,Non-mother,No infant,,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,Y,Y,,, ,N  No data,,0.002083, ,Jari Manis,Flanged,Prime Male,Prime,Forced,Forced,Forced,Forced,Resisted,No,3, , , ,0, ,0, ,0,1,0.33,2,0.67,3,1,1,1,0,0,0,1,0,0,1,1
34343,010,94,94.02600958247776,01/10/1994,AF10Jan98,AF10Jan98,37,Mating 2,Adult Female,Non-mother,No infant,,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,Y,Y,,, ,N  No data,, , ,Jari Manis,Flanged,Prime Male,Prime,Cooperative,Cooperative,Cooperative,Unforced,Unresisted,No,2,1,1,2,1, ,0,2,1, ,0, ,0, ,0,1,1,0,0,0,1,0,0,1,1
35467,038,97,97.10335386721424,02/07/1997,Anna,Anna,2257,,Adult Female,Mother,Inf no juv,,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,233,L  late full day,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
35468,039,97,97.10609171800137,02/08/1997,Anna,Anna,2259,,Adult Female,Mother,Inf no juv,,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,12222,311,,,N,N,N,N,N,730,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
33168,296,90,90.80903490759754,10/23/1990,Betina A,Betina,100,,Adult Female,Non-mother,No infant,Cycling,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,Y,,,,285,D  found then full day,D, , ,Rob,Unflanged,Unflanged,Non-Prime,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0,0,0,1,1,1
33176,304,90,90.8309377138946,10/31/1990,Betina B,Betina,108,,Adult Female,Non-mother,No infant,Cycling,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,400.5,H  lost,H, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
33187,315,90,90.86105407255305,11/11/1990,Betina E,Betina,129,,Adult Female,Non-mother,No infant,Cycling,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,,,,,306,P  found and lost,P, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34336,003,94,94.00684462696783,01/03/1994,Betina P,Betina,860,,Adult Female,Mother,,,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,22241,833,,,Y,N,N,N,N,595,L  late full day,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34338,005,94,94.01232032854209,01/05/1994,Betina P,Betina,866,,Adult Female,Mother,,,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,63129,1500,,,N,N,N,N,N,765,L  late full day,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34338,005,94,94.01232032854209,01/05/1994,Betina Q,Betina,867,Consortship,Adult Female,Mother,Over 4 yrs,,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,Y,N,N,Y,465,T  late and lost,, , ,Roman,Flanged,Past Prime,Non-Prime,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0,0,1,0,1,1
34340,007,94,94.01779603011636,01/07/1994,Betina P,Betina,875,Consortship,Adult Female,Mother,Over 4 yrs,,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,19850,647,,,Y,Y,N,N,Y,815,F  full,F,0.379167, ,Unflanged Male,Unflanged,Unflanged,Non-Prime,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0,0,0,1,1,1
34341,008,94,94.02053388090349,01/08/1994,Betina P,Betina,877,,Adult Female,Mother,Over 4 yrs,,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,Y,N,N,N,338,T  late and lost,, , ,Gagung,Unflanged,Unflanged,Non-Prime,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0,0,0,1,1,1
34368,035,94,94.09445585215606,02/04/1994,Betina S,Betina,930,,Adult Female,Mother,Over 4 yrs,,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,103,D  found then full day,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34369,036,94,94.09719370294319,02/05/1994,Betina S,Betina,932,,Adult Female,Mother,Over 4 yrs,,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,720,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
33130,258,90,90.70499657768652,09/15/1990,Cindy,Cindy,81,,Adult Female,Non-mother,No infant,Cycling,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,689,D  found then full day,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
33131,259,90,90.70773442847364,09/16/1990,Cindy,Cindy,83,,Adult Female,Non-mother,No infant,Cycling,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,435,H  lost,H, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
35609,180,97,97.492128678987,06/29/1997,Dwi,Dwi,2439,,Adult Female,Non-mother,No infant,,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Maybe,N,N,N,N,772,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
33889,286,92,92.78302532511978,10/12/1992,Female E,efemale,450,,Adult Female,Mother,Over 4 yrs,L1,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,10207,4207,looks like end of luteal,,N,N,N,N,N,105,D  found then full day,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34340,007,94,94.01779603011636,01/07/1994,Elizabeth,Elizabeth,31,Mating 1,Adult Female,Mother,Inf no juv,L4,,,Cycling,non-POP,Cycling,POP,POP,Near-POP,POP,non-POP,Non-Preg, , ,,"High P 6 Jan-16 Jan, no data when E peak occurred, looks just after ovulation",Y,Y,Y,N,Y,785,L  late full day,F,0.001389,10,Gagung,Unflanged,Unflanged,Non-Prime,Cooperative,Cooperative,Cooperative,Unforced,Unresisted,No,3,1, ,1,0.33,1,0.33,2,0.67,1,0.33, ,0,1,0.33,3,1,0,0,0,0,0,1,1,0
34343,010,94,94.02600958247776,01/10/1994,Elizabeth,Elizabeth,40,Consortship,Adult Female,Mother,Inf no juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,14253,1803,luteal,,Y,Y,N,N,Y,802,F  full,F, , ,Unflanged Male,Unflanged,Unflanged,Non-Prime,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0,0,0,1,1,0
34352,019,94,94.05065023956195,01/19/1994,Elizabeth,Elizabeth,47,Attempt 1,Adult Female,Mother,,,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,Y,,Y,Y, ,,, , ,Gagung,Unflanged,Unflanged,Non-Prime,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0,0,0,1,1,1
